OMEGA_CONF,ATE_hat,|ATE_err|,sqrt_PEHE,sqrt_PEHE_CIhalf,ITE_R2
0.0,4.050712491084994,0.04674489678445504,1.4840798193618305,0.1292852656009258,-2.5563254329428178
0.05,4.050084624781122,0.04611703048058313,1.4707944477624413,0.12332638685309116,-2.492938507231945
0.1,4.049572443539783,0.04560484923924424,1.459757414082384,0.11848305353298816,-2.4407122677546758
0.15000000000000002,4.049156367144932,0.04518877284439338,1.4506095682534537,0.11453030245821916,-2.3977236414047405
0.2,4.048821797078571,0.04485420277803254,1.4430828193054743,0.11130414633619523,-2.3625557144376748
0.25,4.048557901536398,0.04459030723585933,1.436976104399423,0.10868411708259251,-2.3341571756204447
0.30000000000000004,4.048356792938002,0.0443891986374636,1.4321391593926422,0.1065815377704118,-2.3117490194696386
0.35000000000000003,4.048212976315316,0.044245382014777235,1.4284614695628806,0.10493156662863323,-2.294761917057232
0.4,4.048122994379156,0.04415540007861729,1.425864788849716,0.1036877889780552,-2.2827942598362614
0.45,4.048085225531241,0.04411763123070234,1.4242982316733046,0.1028185818108609,-2.2755847966590443
0.5,4.048099812461903,0.04413221816136392,1.4237353368694443,0.10230476044627368,-2.2729962301973297
0.55,4.048168716172967,0.04420112187242786,1.4241727780347262,0.10213820564980747,-2.275007788383205
0.6000000000000001,4.048295907004265,0.04432831270372617,1.4256306114105342,0.10232130442508192,-2.281716046487217
0.65,4.048487724240654,0.044520129940115005,1.4281541590599516,0.10286714684135623,-2.293344439512077
0.7000000000000001,4.048753464134855,0.04478586983431576,1.4318178703083824,0.10380052910186999,-2.310263256791388
0.75,4.049106300954034,0.0451387066534954,1.4367318569759038,0.10515994886574487,-2.33302383723349
0.8,4.0495647222878555,0.04559712798731663,1.4430523794061816,0.10700099138995967,-2.362413858715447
0.8500000000000001,4.050154799137671,0.0461872048371319,1.4509986168542344,0.10940189488277596,-2.3995464018763286
0.9,4.0509138792226125,0.046946284922073644,1.4608801350943355,0.11247288663762478,-2.446006908428009
0.9500000000000001,4.051896839899797,0.04792924559925815,1.4731438960026335,0.11637271325374843,-2.5041066657178446
1.0,4.053187241377954,0.04921964707741555,1.4884599994938583,0.12134043472249778,-2.5773490108417314
