MATCH_K,ATE_hat,|ATE_err|,sqrt_PEHE,sqrt_PEHE_CIhalf,ITE_R2
1,4.280154157443684,0.2761865631431455,1.8423310068888332,0.11049788716386977,-4.480526719299796
2,4.082512140921769,0.07854454662123,1.316241189860072,0.07496765817217166,-1.7974216462960158
3,4.023228164109242,0.019260569808703387,1.1402261491963757,0.059989292285538065,-1.0992732399551333
4,3.946925547569333,0.05704204673120605,1.0156317596752071,0.05082652647053387,-0.6655570875146377
5,3.9395150315556315,0.0644525627449073,0.9512815475757226,0.05254074988491242,-0.4611847191446772
6,3.9406341296074316,0.06333346469310719,0.910112854293691,0.05444962889315741,-0.3374497477039613
7,3.9587359477479276,0.04523164655261125,0.8781810560187594,0.05854206711872911,-0.24524585616790628
8,3.9573049175385413,0.046662676761997535,0.8722317722086276,0.060815458132037925,-0.22843103892556527
9,3.997059787508001,0.006907806792537663,0.8594653322783615,0.06333936291152087,-0.19273428599159215
10,4.02159038100299,0.017622786702450988,0.8554325387425248,0.06248422859475511,-0.1815674220157415
11,4.038415561689475,0.034447967388936185,0.8342744324479171,0.06215969952707234,-0.12384092995457463
12,4.079184735047552,0.07521714074701347,0.8366442870880637,0.06701331983219228,-0.13023480301035617
13,4.095373606010541,0.09140601171000196,0.8382401097876233,0.06876984801971375,-0.13455055472337984
14,4.082465549804991,0.07849795550445204,0.8324093828422018,0.06953888394280006,-0.1188217752496783
15,4.063179334789649,0.059211740489110376,0.8303244183442718,0.06954694017865948,-0.1132240914002729
16,4.042575893483615,0.03860829918307651,0.8334048512343195,0.0695584439631799,-0.12149934640108384
17,4.044409995417285,0.040442401116746574,0.8298011876356138,0.07172432187861433,-0.11182153236657255
18,4.0546745190254585,0.050706924724919666,0.8252288531949915,0.07250006741475956,-0.0996026679225841
19,4.077891103882392,0.0739235095818529,0.8237473341398878,0.07316110569640599,-0.0956580167687695
20,4.076098570551011,0.07213097625047205,0.8250350471734114,0.0729063660294269,-0.09908624246548903
